                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.2703,                      0,                      1,                 1.8337,              0.0002375,              0.0002375,              0.0002375
                      2,                0.00206,                      0,                      1,                  1.889,             0.00042843,             0.00042843,             0.00042843
                      3,                0.00036,                      0,                      1,                 1.9011,             0.00057223,             0.00057223,             0.00057223
                      4,                0.00026,                      0,                      1,                 1.9028,             0.00050194,             0.00050194,             0.00050194
                      5,                  9e-05,                      0,                      1,                 1.9037,             0.00050194,             0.00050194,             0.00050194
                      6,                  7e-05,                      0,                      1,                 1.9032,             0.00043126,             0.00043126,             0.00043126
                      7,                  4e-05,                      0,                      1,                 1.9031,             0.00036057,             0.00036057,             0.00036057
                      8,                  3e-05,                      0,                      1,                 1.9029,             0.00028988,             0.00028988,             0.00028988
                      9,                  3e-05,                      0,                      1,                 1.9033,              0.0002192,              0.0002192,              0.0002192
                     10,                  3e-05,                      0,                      1,                 1.9035,             0.00014851,             0.00014851,             0.00014851
